word,term_freq,doc_freq,doc_ratio,donem_span,party_span,already_stopword,category,recommendation
bakana,1739,1526,0.008448,7,14,False,content_or_borderline,keep_for_now
zorunlu,1737,1323,0.007324,7,15,False,content_or_borderline,keep_for_now
amaci,1736,1425,0.007889,7,13,False,content_or_borderline,keep_for_now
toki,1736,683,0.003781,6,12,False,content_or_borderline,keep_for_now
ara,1732,1201,0.006649,7,13,False,content_or_borderline,keep_for_now
yaş,1732,1042,0.005769,7,11,False,content_or_borderline,keep_for_now
sağ,1730,1603,0.008875,6,14,False,content_or_borderline,keep_for_now
hüküm,1728,1325,0.007335,7,14,False,content_or_borderline,keep_for_now
zorundayiz,1725,1323,0.007324,7,13,False,content_or_borderline,keep_for_now
partinin,1725,1444,0.007994,7,15,False,content_or_borderline,keep_for_now
bizden,1725,1449,0.008022,7,15,False,content_or_borderline,keep_for_now
fark,1723,1405,0.007778,7,13,False,content_or_borderline,keep_for_now
takdir,1721,1499,0.008299,7,14,False,content_or_borderline,keep_for_now
borcu,1720,1097,0.006073,6,13,False,content_or_borderline,keep_for_now
ytl,1719,618,0.003421,3,7,False,content_or_borderline,keep_for_now
çikip,1715,1530,0.00847,7,13,False,content_or_borderline,keep_for_now
prim,1713,929,0.005143,7,11,False,content_or_borderline,keep_for_now
kurulmasi,1713,1340,0.007419,7,12,False,content_or_borderline,keep_for_now
